SMILES,CID,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e090d3a-31,,,,-0.907,0.797,0.701,0.541,1.0,0.99
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e090d3a-34,,,,-1.11,0.298,2.04,0.416,1.0,1.0
O=C(Cc1cccnc1Br)Nc1cccc(OCCn2cncn2)c1,BAR-COM-4e090d3a-35,,,,,,13.6,1.91,,
COC(=O)C(Cc1ccccc1)C(C)NC(=O)C(C)n1ccnc1,BAR-COM-4e090d3a-36,,,,,,-2.6,2.81,,
Cc1noc(CC(NC(=O)C(C)Cn2ccnc2)c2ccccc2)n1,BAR-COM-4e090d3a-38,,,,,,14.8,1.2,,
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,BAR-COM-4e090d3a-39,,,,7.86,1.84,22.8,6.11,1.0,1.0
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,BAR-COM-4e090d3a-43,,,,5.31,0.679,11.7,1.64,1.0,0.64
CC1CC(C)CN(C(=O)c2ccccc2NC(=O)NCc2ccoc2)C1,BAR-COM-4e090d3a-44,,,,,,-2.25,2.31,,
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,BAR-COM-4e090d3a-45,,,,2.31,2.35,5.19,0.0531,1.0,1.0
Cn1cc(CNC(=O)N(CCc2ccccc2)Cc2cccnc2)nn1,BAR-COM-4e090d3a-47,,,,,,3.88,1.33,,
N#CCOc1ccccc1C(=O)NCc1cnsc1,BAR-COM-4e090d3a-49,,,,2.21,1.97,5.96,0.936,1.0,1.0
O=C(Cc1ccccc1OC1CCOC1)OCc1cnn[nH]1,BAR-COM-4e090d3a-50,,,,,,9.34,3.4,,
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,BAR-COM-4e090d3a-51,,,,1.73,2.23,6.74,0.836,1.0,1.0
Cn1cncc1CNC(=O)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-52,,,,,,27.6,5.57,,
CC(C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cnccn1,BAR-COM-4e090d3a-53,,,,,,3.22,5.06,,
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,BAR-COM-4e090d3a-54,,,,1.16,0.388,1.22,0.671,1.0,0.99
CC(OCC1CCCCO1)C(=O)N(CCc1ccccc1)Cc1cccnc1,BAR-COM-4e090d3a-55,,,,,,14.1,0.189,,
O=C(Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)C(O)c1cccnc1,BAR-COM-4e090d3a-57,,,,,,39.3,1.55,,
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e090d3a-58,,,,5.65,0.438,13.6,0.678,1.0,1.01
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,BAR-COM-4e090d3a-60,,,,3.61,0.361,6.82,1.29,1.0,1.0
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,BAR-COM-4e090d3a-61,,,,-0.28,2.18,-2.05,4.67,1.0,0.97
CC(NC(=O)c1ccccc1OCC(N)=O)c1cnn(C)c1,BAR-COM-4e090d3a-62,,,,-1.52,1.86,2.68,0.263,1.0,1.0
CC1CCCC(OCc2cccc(NC(=O)NC(C)c3ccn[nH]3)c2)C1,BAR-COM-4e090d3a-63,,,,,,-4.38,2.03,,
O=C(NCc1cnccn1)c1sc2cccc(F)c2c1COc1ccccc1,BAR-COM-4e090d3a-64,,,,-1.73,10.3,6.32,6.99,0.95,0.44
CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)N1CCOCC1,BAR-COM-4e090d3a-66,,,,2.12,1.78,3.92,0.0791,0.97,0.92
O=C(Nc1cccc(-c2cc[nH]n2)c1)C(O)c1cccnc1,BAR-COM-4e090d3a-68,,,,,,13.8,2.02,,
O=C(NCc1cccnc1)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-69,,,,3.33,1.47,8.28,1.36,1.0,1.0
Cc1ccncc1NC(=O)Nc1ccccc1,ALE-HEI-f28a35b5-1,,,,,,5.51,4.97,,
Cc1nnc(NC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-4,,,,1.19,0.867,7.32,0.613,1.0,0.99
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-5,,,,-1.16,0.562,-0.0294,0.492,1.0,0.99
Cc1ccncc1NC(=O)CCNC(=O)c1ccccc1F,PET-SGC-2e937068-1,,,,,,15.4,1.68,,
O=C(CCl)NC(CO)c1cccc(Cl)c1,DAV-CRI-3edb475e-4,,,,,,41.5,0.939,,
CS(=O)(=O)NCC[C@H]1CCCCN1CC(=O)Nc1cccnc1,BEN-DND-362d364a-10,,,,,,-4.5,4.45,,
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc21,RUT-UNI-630c5802-20,,,,,,40.2,1.75,,
NC(=O)CCN(C(=O)CCl)C1CCS(=O)(=O)C1,DAN-PUR-6788a628-2,,,,,,31.4,13.1,,
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-6435e6c2-1,,,,2.33,3.2,4.21,4.43,1.0,1.0
CC(=O)N1CCN(Cc2cccs2)CC1,MAK-UNK-6435e6c2-2,,,,94.5,1.7,99.0,0.0298,,
CC(=O)N1CCN(Cc2ccsc2)CC1,MAK-UNK-6435e6c2-3,,,,98.8,0.000332,99.4,0.175,,
CC(=O)Nc1cccc(N2CCCC2=O)c1,MAK-UNK-6435e6c2-4,,,,27.1,0.0478,51.4,0.201,,
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-6435e6c2-5,,,,6.2,7.06,1.43,0.641,1.0,1.0
CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,MAK-UNK-6435e6c2-6,,,,-1.42,5.78,4.18,0.576,1.0,1.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c7e912-1,,,,6.23,0.227,11.9,0.592,0.91,0.79
CS(=O)(=O)NCCCN1CCCc2ccc(S(N)(=O)=O)cc21,PET-SGC-abcbce68-1,,,,,,-1.74,4.03,,
O=C(C1CCN(c2ccncc2)CC1)N1CCCCC1,GIA-UNK-30c7cb75-1,,,,,,14.7,2.39,,
O=C(C1CCN(c2ccncc2)CC1)N1CCOCC1,GIA-UNK-30c7cb75-2,,,,,,1.67,0.794,,
O=C(C1CCN(c2ccncc2)CC1)N1CCS(=O)(=O)CC1,GIA-UNK-30c7cb75-3,,,,,,13.0,2.79,,
O=C(NC1CCCCC1NC(=O)c1ccncc1)c1ccccc1,GIA-UNK-d2defdc3-2,,,,,,12.0,0.431,,
CN1CCC(C(=O)NC2CCCCC2NC(=O)c2ccccc2)CC1,GIA-UNK-d2defdc3-4,,,,,,0.89,4.23,,
O=C(C1CCCN1C(=O)c1ccccc1)N1CCOCC1,GIA-UNK-d2defdc3-6,,,,,,-1.33,0.0464,,
CNCc1c[nH]c2ccc(F)cc12,DAR-DIA-eace69ff-36,,,,,,37.9,0.13,,
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,MAT-POS-916a2c5a-1,1.75,0.14,> 49.5,99.4,0.0695,99.2,0.0382,0.95,0.83
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,MAT-POS-916a2c5a-2,7.02,0.47,> 99.0,83.7,0.902,92.7,0.173,0.99,0.96
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,MAT-POS-916a2c5a-3,8.19,0.52,> 99.0,84.4,0.904,92.9,0.294,0.75,0.65
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,MAT-POS-916a2c5a-4,,,,,,81.8,1.66,,
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3d3065-2,,,,18.5,3.55,31.4,0.724,1.0,1.0
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3d3065-3,,,,17.3,0.758,38.8,0.0201,1.0,1.0
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d98ec1c-7,,,,-3.12,2.66,2.63,0.332,1.0,1.0
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-1,,,,3.21,1.6,11.3,0.114,0.94,0.92
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-2,,,,11.1,1.29,24.5,1.47,0.85,0.67
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,LON-WEI-b8d98729-4,,,,-3.12,2.66,2.63,0.332,1.0,1.0
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,LON-WEI-b8d98729-5,,,,4.91,5.73,-0.253,1.1,1.0,0.92
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-6,,,,3.54,5.36,7.75,2.46,1.0,0.99
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-7,,,,11.1,1.31,23.0,0.833,0.98,0.9
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-8,,,,2.91,0.123,6.9,0.785,0.99,0.97
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-9,,,,17.4,4.44,34.9,0.534,0.75,0.64
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-10,,,,7.07,1.98,15.9,0.706,0.98,0.86
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-11,,,,4.26,4.03,12.1,0.809,0.88,0.78
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-12,,,,15.7,0.404,30.6,0.258,0.83,0.71
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-13,,,,2.84,3.7,8.13,2.86,0.86,0.79
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-14,,,,3.45,3.38,3.43,1.03,0.84,0.74
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-15,,,,15.6,1.8,43.1,0.132,0.87,0.76
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-16,,,,7.05,2.96,11.7,1.09,0.85,0.68
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-17,67.8,23.15,> 49.5,36.6,3.78,63.7,0.795,0.92,0.82
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-18,,,,5.61,2.53,12.5,1.87,1.0,0.95
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-19,,,,3.04,4.9,9.73,0.763,0.89,0.84
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-20,,,,4.05,4.47,4.71,2.18,0.92,0.78
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-21,,,,6.12,0.252,19.5,0.43,0.78,0.68
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-22,,,,12.3,2.71,26.1,1.87,0.84,0.76
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-23,99.0,,> 99.0,7.86,1.11,16.1,0.414,0.98,0.91
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-24,,,,16.9,2.12,32.3,1.06,0.81,0.64
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-25,,,,4.02,4.23,15.4,1.5,0.92,0.87
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-26,,,,6.56,2.76,10.4,1.07,0.98,0.93
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-27,46.4,8.95,> 49.5,40.3,3.05,60.7,0.291,0.84,0.75
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-28,,,,5.52,0.958,12.2,0.741,0.92,0.75
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-29,,,,3.13,0.993,7.07,0.148,0.85,0.73
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-30,,,,2.51,1.12,7.01,0.146,0.87,0.83
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-31,,,,9.29,11.4,0.772,1.75,1.0,1.0
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-32,,,,11.7,8.33,11.4,1.46,1.0,0.99
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-33,,,,16.5,5.09,22.7,2.32,0.82,0.68
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,LON-WEI-b8d98729-34,,,,4.66,5.34,2.38,1.67,1.0,1.0
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-35,,,,8.32,0.271,18.4,0.232,0.91,0.66
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-b8d98729-36,,,,16.3,0.472,31.8,1.09,0.86,0.72
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-37,,,,7.06,1.62,25.4,0.233,0.95,0.62
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-38,63.3,11.25,> 49.5,33.9,0.707,59.3,0.47,0.8,0.63
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-39,97.8,39.5,> 99.0,22.3,0.806,38.6,0.0151,0.89,0.79
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-40,,,,8.27,5.86,22.2,0.594,0.95,0.84
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-41,,,,15.6,7.32,22.0,1.11,0.94,0.83
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-42,,,,6.4,1.5,13.2,0.141,0.9,0.77
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-43,,,,12.9,3.4,23.4,0.0163,1.0,0.91
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-44,,,,8.95,0.906,25.3,0.217,0.87,0.69
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-45,,,,5.9,6.3,3.94,2.24,0.96,0.87
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-46,,,,7.33,0.74,21.1,0.99,0.99,0.9
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-47,,,,13.5,2.82,27.0,0.9,0.91,0.77
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-48,,,,7.67,3.72,10.7,1.22,0.97,0.97
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec639444-2,,,,0.473,4.55,6.69,0.651,1.0,1.0
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,JOH-MSK-35a8745a-1,,,,1.37,3.81,-0.962,1.03,1.0,0.99
CNC(=O)OC1CCN(C(=O)c2ccccc2)CC1,GIA-UNK-595fac82-2,,,,,,0.862,1.05,,
CNC(=O)OC1CCN(C(=O)c2ccncc2)CC1,GIA-UNK-595fac82-3,,,,,,5.88,1.84,,
CNC(=O)OC1CCN(S(=O)(=O)c2ccccc2)CC1,GIA-UNK-595fac82-4,,,,,,-1.43,0.802,,
CNC(=O)OC1CCN(Cc2ccccc2)CC1,GIA-UNK-595fac82-5,,,,,,22.1,0.43,,
O=C(c1ccccc1)N1CCN(C(=O)C2CCOCC2)CC1,GIA-UNK-eaadd1d4-1,,,,2.9,1.43,6.27,1.02,1.0,1.0
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaadd1d4-3,,,,1.87,0.14,5.52,0.277,1.0,0.99
O=C(NCCN1CCN(c2ccccc2)CC1)NCc1ccccn1,TRI-UNI-97428359-1,,,,,,-11.4,8.64,,
O=C(CC1(c2ccccc2)CCCC1)Nc1cccnc1,CHR-SOS-f7373dd1-4,,,,,,26.9,2.65,,
O=S(=O)(NCCc1ccccc1)c1ccoc1,MIH-UNI-6b9ca91a-6,,,,,,-0.468,0.836,,
CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccccc12,DUN-NEW-f8ce3686-13,,,,,,3.44,2.95,,
Cc1ncncc1NC(=O)Nc1ccccc1,HAN-NEW-5f56c3bc-1,,,,-2.06,0.489,-0.628,0.645,0.99,0.99
NC(=O)[C@@H]1CN(Cc2cccnc2)C[C@H]1c1ccccc1,DUN-NEW-d8381160-1,,,,,,7.36,0.257,,
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,ANN-UNI-26382800-3,,,,5.82,0.482,11.6,0.824,1.0,1.0
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-4,,,,6.21,4.27,10.3,1.53,1.0,1.0
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-5,,,,11.4,1.42,25.0,0.939,1.0,1.0
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,ANN-UNI-26382800-6,,,,5.11,0.0988,9.79,0.332,0.96,0.94
CC(=O)N1CCN(Cc2cc(O)cc(Cl)c2)CC1,KIM-UNI-2ee5d8f9-1,,,,,,7.39,2.3,,
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,PAT-GYR-359dbb24-1,,,,1.4,1.59,2.46,0.567,1.0,1.0
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c79be55-4,,,,0.469,4.68,6.26,0.497,1.0,1.0
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,TRY-UNI-1fd04853-5,,,,7.73,2.86,9.03,0.76,1.0,0.96
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,TRY-UNI-1fd04853-7,,,,2.99,2.55,3.45,2.03,1.0,0.95
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,TRY-UNI-1fd04853-8,,,,2.44,4.57,1.71,1.04,1.0,0.99
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,TRY-UNI-1fd04853-9,,,,2.58,5.3,8.45,0.533,1.0,0.98
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,TRY-UNI-1fd04853-11,,,,1.55,1.25,4.16,1.46,1.0,1.0
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,TRY-UNI-1fd04853-12,,,,4.15,5.6,0.616,0.662,1.0,1.0
CS(=O)(=O)NCCc1cccc(O)c1,ANT-DIA-b7f58f21-2,,,,-1.8,0.0968,0.0445,0.735,1.0,1.0
CS(=O)(=O)NCCc1ccccc1O,ANT-DIA-b7f58f21-3,,,,,,-5.0,3.41,,
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-1,,,,6.21,4.27,10.3,1.53,1.0,1.0
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-2,,,,23.0,0.819,43.9,1.17,0.99,0.88
Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-5,,,,,,18.0,0.287,,
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,PAT-UNK-b2d83456-1,,,,-0.339,7.61,6.59,0.42,1.0,0.99
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23aa0b97-1,,,,2.74,4.51,2.91,1.69,1.0,0.95
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,DAR-DIA-23aa0b97-5,,,,6.21,4.27,10.3,1.53,1.0,1.0
N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,DAR-DIA-23aa0b97-8,,,,,,59.9,6.01,,
N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,DAR-DIA-23aa0b97-11,,,,,,49.3,2.37,,
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,DAR-DIA-23aa0b97-12,,,,5.95,0.725,9.34,0.727,0.99,0.97
Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,DAR-DIA-23aa0b97-13,,,,,,38.7,0.694,,
O=C(Nc1cccnc1)Nc1cncc(Cl)c1,DAR-DIA-23aa0b97-15,,,,,,8.99,2.75,,
N#Cc1cncc(CC(=O)Nc2cccnc2)c1,DAR-DIA-23aa0b97-17,,,,6.61,1.66,21.8,0.112,1.0,1.0
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23aa0b97-19,28.2,2.7,> 99.0,48.7,0.877,73.0,0.425,0.99,0.98
O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23aa0b97-20,61.3,6.0,> 99.0,31.6,1.34,57.8,0.318,1.0,0.98
Cc1ccc(NC(=O)Nc2cccnc2)s1,DAR-DIA-842b4336-3,,,,1.9,0.0997,11.3,0.612,1.0,0.96
O=C(Nc1cccnc1)Nc1ccc(Cl)s1,DAR-DIA-842b4336-4,,,,8.85,1.1,23.7,0.259,0.99,0.95
Cc1coc(NC(=O)Nc2cccnc2)n1,DAR-DIA-842b4336-7,,,,2.91,1.58,8.86,1.0,1.0,1.0
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842b4336-13,,,,0.922,2.19,11.5,1.87,1.0,1.0
Cc1cnc(CC(=O)Nc2cccnc2)o1,DAR-DIA-842b4336-16,,,,,,6.13,0.809,,
